project,mutant_id,class,method,line,mutator,description,pit_status,reason
commons-beanutils,7c2b20d9a1f9,org.apache.commons.beanutils.WrapDynaClass$CacheKey,equals,537,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,SURVIVED,ambiguous_pitmus_match_2
commons-beanutils,7c2b20d9a1f9,org.apache.commons.beanutils.WrapDynaClass$CacheKey,equals,537,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,SURVIVED,ambiguous_pitmus_match_2
commons-beanutils,764ac332ad9d,org.apache.commons.beanutils.WrapDynaClass$CacheKey,equals,537,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,KILLED,ambiguous_pitmus_match_2
commons-beanutils,155a2941bd24,org.apache.commons.beanutils.BeanUtilsBean,setProperty,929,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,KILLED,ambiguous_pitmus_match_2
commons-beanutils,2d957792acaa,org.apache.commons.beanutils.DynaProperty,readObject,332,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,KILLED,ambiguous_pitmus_match_2
commons-beanutils,2d957792acaa,org.apache.commons.beanutils.DynaProperty,readObject,332,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,KILLED,ambiguous_pitmus_match_2
commons-beanutils,9bb22aa17481,org.apache.commons.beanutils.DynaProperty,readObject,332,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,KILLED,ambiguous_pitmus_match_2
commons-beanutils,9bb22aa17481,org.apache.commons.beanutils.DynaProperty,readObject,332,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,KILLED,ambiguous_pitmus_match_2
commons-beanutils,6de2395bd683,org.apache.commons.beanutils.expression.DefaultResolver,isMapped,206,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,MEMORY_ERROR,ambiguous_pitmus_match_2
commons-beanutils,e88868bc0b7d,org.apache.commons.beanutils.expression.DefaultResolver,isMapped,201,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,MEMORY_ERROR,ambiguous_pitmus_match_2
commons-beanutils,8c2e96c39cf1,org.apache.commons.beanutils.ResultSetIterator,advance,342,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,SURVIVED,ambiguous_pitmus_match_2
commons-beanutils,55edceb1abe6,org.apache.commons.beanutils.ResultSetIterator,advance,342,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,KILLED,ambiguous_pitmus_match_2
commons-beanutils,55edceb1abe6,org.apache.commons.beanutils.ResultSetIterator,advance,342,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,KILLED,ambiguous_pitmus_match_2
commons-beanutils,8c2e96c39cf1,org.apache.commons.beanutils.ResultSetIterator,advance,342,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,KILLED,ambiguous_pitmus_match_2
commons-beanutils,b6a765adc1f2,org.apache.commons.beanutils.converters.NumberConverter,toNumber,370,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,SURVIVED,ambiguous_pitmus_match_2
commons-beanutils,638cbe9fb5b5,org.apache.commons.beanutils.converters.NumberConverter,parse,547,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,SURVIVED,ambiguous_pitmus_match_2
commons-beanutils,50cc596b8bac,org.apache.commons.beanutils.converters.NumberConverter,parse,547,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,KILLED,ambiguous_pitmus_match_2
commons-beanutils,f97845f13d28,org.apache.commons.beanutils.LazyDynaMap,getDynaProperty,226,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,KILLED,ambiguous_pitmus_match_2
commons-beanutils,f97845f13d28,org.apache.commons.beanutils.LazyDynaMap,getDynaProperty,226,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,KILLED,ambiguous_pitmus_match_2
commons-beanutils,a6e1aa069b15,org.apache.commons.beanutils.LazyDynaList,toArray,415,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,SURVIVED,ambiguous_pitmus_match_2
commons-beanutils,42aafe7c91de,org.apache.commons.beanutils.PropertyUtilsBean,copyProperties,285,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,KILLED,ambiguous_pitmus_match_2
commons-beanutils,5fd1a841c036,org.apache.commons.beanutils.converters.AbstractConverter,toString,438,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,SURVIVED,no_pitmus_match
commons-beanutils,50480371f794,org.apache.commons.beanutils.converters.CharacterConverter,convertToType,88,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,SURVIVED,ambiguous_pitmus_match_2
commons-beanutils,50480371f794,org.apache.commons.beanutils.converters.CharacterConverter,convertToType,88,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,SURVIVED,ambiguous_pitmus_match_2
commons-beanutils,e800c79c23f0,org.apache.commons.beanutils.converters.CharacterConverter,convertToType,88,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,KILLED,ambiguous_pitmus_match_2
commons-beanutils,e800c79c23f0,org.apache.commons.beanutils.converters.CharacterConverter,convertToType,88,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,SURVIVED,ambiguous_pitmus_match_2
commons-beanutils,cde4a16da611,org.apache.commons.beanutils.expression.DefaultResolver,hasNested,164,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,MEMORY_ERROR,ambiguous_pitmus_match_2
commons-beanutils,8ec7c0883966,org.apache.commons.beanutils.expression.DefaultResolver,hasNested,164,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,MEMORY_ERROR,ambiguous_pitmus_match_2
commons-beanutils,cde4a16da611,org.apache.commons.beanutils.expression.DefaultResolver,hasNested,164,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,MEMORY_ERROR,ambiguous_pitmus_match_2
commons-beanutils,29b94369317c,org.apache.commons.beanutils.ConstructorUtils,getMatchingAccessibleConstructor,411,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,KILLED,no_pitmus_match
commons-beanutils,7d422fcc0316,org.apache.commons.beanutils.ConstructorUtils,getMatchingAccessibleConstructor,411,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,KILLED,no_pitmus_match
