project,mutant_id,class,method,line,mutator,description,pit_status,pit_label,pitmus_status,agreement,detail,time_seconds
commons-beanutils,89a5f5d265df,org.apache.commons.beanutils.ConstructorUtils,getAccessibleConstructor,323,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,KILLED,KILLED,KILLED,agreed,test_failure,2.90
commons-beanutils,645ca4d15309,org.apache.commons.beanutils.converters.StringArrayConverter,convert,136,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,SURVIVED,SURVIVED,SURVIVED,agreed,ok,2.89
commons-beanutils,2b7cd23de441,org.apache.commons.beanutils.converters.StringArrayConverter,convert,127,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,SURVIVED,SURVIVED,SURVIVED,agreed,ok,2.96
commons-beanutils,4f4730a39114,org.apache.commons.beanutils.converters.StringArrayConverter,convert,141,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,KILLED,KILLED,KILLED,agreed,test_failure,3.12
commons-beanutils,44a47f74a06c,org.apache.commons.beanutils.converters.StringArrayConverter,convert,145,RemoveConditionalMutator_ORDER_ELSE,removed conditional - replaced comparison check with false,KILLED,KILLED,KILLED,agreed,non_zero_rc_1,1.65
commons-beanutils,d6ca6f061b34,org.apache.commons.beanutils.converters.StringArrayConverter,convert,136,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,KILLED,KILLED,KILLED,agreed,test_failure,2.92
commons-beanutils,916e73130679,org.apache.commons.beanutils.converters.AbstractArrayConverter,parseElements,191,RemoveConditionalMutator_ORDER_ELSE,removed conditional - replaced comparison check with false,KILLED,KILLED,KILLED,agreed,non_zero_rc_1,1.18
commons-beanutils,046d276f6562,org.apache.commons.beanutils.converters.AbstractArrayConverter,parseElements,191,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,TIMED_OUT,KILLED,KILLED,agreed,test_failure,2.91
commons-beanutils,629e91f71f54,org.apache.commons.beanutils.converters.AbstractArrayConverter,parseElements,181,VoidMethodCallMutator,removed call to java/io/StreamTokenizer::ordinaryChars,SURVIVED,SURVIVED,SURVIVED,agreed,ok,2.94
commons-beanutils,23a90c1b8cce,org.apache.commons.beanutils.converters.AbstractArrayConverter,parseElements,203,EmptyObjectReturnValsMutator,replaced return value with Collections.emptyList for org/apache/commons/beanutils/converters/AbstractArrayConverter::parseElements,KILLED,KILLED,KILLED,agreed,non_zero_rc_1,1.62
commons-beanutils,8d36e0633a23,org.apache.commons.beanutils.BeanUtilsBean,getArrayProperty,566,NullReturnValsMutator,replaced return value with null for org/apache/commons/beanutils/BeanUtilsBean::getArrayProperty,KILLED,KILLED,KILLED,agreed,test_failure,2.98
commons-beanutils,1bd5b6a0f787,org.apache.commons.beanutils.BeanUtilsBean,getArrayProperty,543,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,SURVIVED,SURVIVED,SURVIVED,agreed,ok,2.94
commons-beanutils,aa0221dc4a74,org.apache.commons.beanutils.BeanUtilsBean,getArrayProperty,543,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,KILLED,KILLED,KILLED,agreed,test_failure,3.00
commons-beanutils,6a3e6ab6b9be,org.apache.commons.beanutils.BeanUtilsBean,getArrayProperty,559,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,SURVIVED,SURVIVED,SURVIVED,agreed,ok,2.96
commons-beanutils,df444d911480,org.apache.commons.beanutils.BeanUtilsBean,getArrayProperty,557,RemoveConditionalMutator_ORDER_IF,removed conditional - replaced comparison check with true,KILLED,KILLED,KILLED,agreed,non_zero_rc_1,1.72
commons-beanutils,699422c59e57,org.apache.commons.beanutils.converters.BooleanArrayConverter,convert,207,ConditionalsBoundaryMutator,changed conditional boundary,KILLED,KILLED,KILLED,agreed,test_failure,2.96
commons-beanutils,57bd540f653c,org.apache.commons.beanutils.converters.BooleanArrayConverter,convert,207,RemoveConditionalMutator_ORDER_ELSE,removed conditional - replaced comparison check with false,KILLED,KILLED,KILLED,agreed,non_zero_rc_1,1.73
commons-beanutils,63e6696dd8bc,org.apache.commons.beanutils.converters.BooleanArrayConverter,convert,236,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,KILLED,KILLED,KILLED,agreed,test_failure,2.96
commons-beanutils,c58fb7ae841b,org.apache.commons.beanutils.converters.BooleanArrayConverter,convert,229,RemoveConditionalMutator_ORDER_IF,removed conditional - replaced comparison check with true,KILLED,KILLED,KILLED,agreed,non_zero_rc_1,1.72
commons-beanutils,152c742a8d1f,org.apache.commons.beanutils.converters.BooleanArrayConverter,convert,203,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,KILLED,KILLED,KILLED,agreed,test_failure,2.96
commons-beanutils,d0f4bab76381,org.apache.commons.beanutils.MethodUtils$MethodDescriptor,equals,1355,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,SURVIVED,SURVIVED,SURVIVED,agreed,ok,3.01
commons-beanutils,d8da8ab6f23e,org.apache.commons.beanutils.MethodUtils$MethodDescriptor,equals,1347,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,MEMORY_ERROR,KILLED,SURVIVED,disagreed,ok,75.05
commons-beanutils,1a8680176880,org.apache.commons.beanutils.MethodUtils$MethodDescriptor,equals,1355,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,SURVIVED,SURVIVED,SURVIVED,agreed,ok,3.01
commons-beanutils,7bd295d5acfe,org.apache.commons.beanutils.MethodUtils$MethodDescriptor,equals,1354,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,MEMORY_ERROR,KILLED,SURVIVED,disagreed,ok,71.56
commons-beanutils,5a651932c38e,org.apache.commons.beanutils.MethodUtils$MethodDescriptor,equals,1356,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,SURVIVED,SURVIVED,SURVIVED,agreed,ok,3.09
commons-beanutils,a30e828db98a,org.apache.commons.beanutils.BasicDynaBean,set,303,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,KILLED,KILLED,KILLED,agreed,test_failure,3.19
commons-beanutils,ff6d202b57b2,org.apache.commons.beanutils.BasicDynaBean,set,299,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,SURVIVED,SURVIVED,SURVIVED,agreed,ok,3.23
commons-beanutils,d996567b6935,org.apache.commons.beanutils.BasicDynaBean,set,298,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,KILLED,KILLED,KILLED,agreed,test_failure,9.70
commons-beanutils,c47cb9f63683,org.apache.commons.beanutils.BasicDynaBean,set,303,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,SURVIVED,SURVIVED,SURVIVED,agreed,ok,9.73
commons-beanutils,fb0444fb9529,org.apache.commons.beanutils.BasicDynaBean,set,298,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,KILLED,KILLED,KILLED,agreed,test_failure,3.22
commons-beanutils,533ac32f9565,org.apache.commons.beanutils.BasicDynaBean,set,339,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,KILLED,KILLED,KILLED,agreed,test_failure,2.97
commons-beanutils,6621294da1d6,org.apache.commons.beanutils.BasicDynaBean,set,339,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,SURVIVED,SURVIVED,SURVIVED,agreed,ok,2.96
commons-beanutils,c07c1b296db8,org.apache.commons.beanutils.BasicDynaBean,set,338,VoidMethodCallMutator,removed call to java/lang/reflect/Array::set,KILLED,KILLED,KILLED,agreed,test_failure,2.96
commons-beanutils,d9374fa5b66c,org.apache.commons.beanutils.BasicDynaBean,set,337,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,KILLED,KILLED,KILLED,agreed,test_failure,2.95
commons-beanutils,96a7a03394a6,org.apache.commons.beanutils.BasicDynaBean,set,334,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,SURVIVED,SURVIVED,SURVIVED,agreed,ok,2.95
commons-beanutils,b587846fdc48,org.apache.commons.beanutils.BeanUtilsBean,initCause,1056,BooleanFalseReturnValsMutator,replaced boolean return with false for org/apache/commons/beanutils/BeanUtilsBean::initCause,SURVIVED,SURVIVED,SURVIVED,agreed,ok,3.05
commons-beanutils,0a2dc7a207ea,org.apache.commons.beanutils.JDBCDynaClass,introspect,244,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,KILLED,KILLED,KILLED,agreed,test_failure,2.96
commons-beanutils,3ff02e62d598,org.apache.commons.beanutils.JDBCDynaClass,introspect,242,ConditionalsBoundaryMutator,changed conditional boundary,KILLED,KILLED,KILLED,agreed,test_failure,2.93
commons-beanutils,98e90824c5b2,org.apache.commons.beanutils.JDBCDynaClass,introspect,244,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,SURVIVED,SURVIVED,SURVIVED,agreed,ok,2.95
commons-beanutils,de0bcfa8a7a1,org.apache.commons.beanutils.JDBCDynaClass,introspect,242,RemoveConditionalMutator_ORDER_ELSE,removed conditional - replaced comparison check with false,KILLED,KILLED,KILLED,agreed,non_zero_rc_1,1.63
commons-beanutils,e8be5fd5aced,org.apache.commons.beanutils.JDBCDynaClass,introspect,242,RemoveConditionalMutator_ORDER_IF,removed conditional - replaced comparison check with true,KILLED,KILLED,KILLED,agreed,non_zero_rc_1,1.74
commons-beanutils,4bfced62542c,org.apache.commons.beanutils.LazyDynaBean,createProperty,661,NullReturnValsMutator,replaced return value with null for org/apache/commons/beanutils/LazyDynaBean::createProperty,KILLED,KILLED,KILLED,agreed,test_failure,2.95
commons-beanutils,4f7f96b5c4bb,org.apache.commons.beanutils.LazyDynaBean,createProperty,669,NullReturnValsMutator,replaced return value with null for org/apache/commons/beanutils/LazyDynaBean::createProperty,KILLED,KILLED,KILLED,agreed,test_failure,2.90
commons-beanutils,d6b157b2c7ff,org.apache.commons.beanutils.LazyDynaBean,createProperty,676,NullReturnValsMutator,replaced return value with null for org/apache/commons/beanutils/LazyDynaBean::createProperty,SURVIVED,SURVIVED,SURVIVED,agreed,ok,2.95
commons-beanutils,a4a3afddf26c,org.apache.commons.beanutils.LazyDynaBean,createProperty,664,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,KILLED,KILLED,KILLED,agreed,test_failure,2.96
commons-beanutils,1f5dddf34043,org.apache.commons.beanutils.converters.ClassConverter,convertToType,93,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,SURVIVED,SURVIVED,SURVIVED,agreed,ok,2.95
commons-beanutils,624b5113f744,org.apache.commons.beanutils.converters.ClassConverter,convertToType,95,NullReturnValsMutator,replaced return value with null for org/apache/commons/beanutils/converters/ClassConverter::convertToType,KILLED,KILLED,KILLED,agreed,non_zero_rc_1,1.76
commons-beanutils,9f2099f6619d,org.apache.commons.beanutils.converters.ClassConverter,convertToType,93,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,SURVIVED,SURVIVED,SURVIVED,agreed,ok,2.99
commons-beanutils,b15db9e4280a,org.apache.commons.beanutils.converters.ClassConverter,convertToType,90,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,SURVIVED,SURVIVED,SURVIVED,agreed,ok,2.94
commons-beanutils,d27617324f37,org.apache.commons.beanutils.converters.ClassConverter,convertToType,90,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,KILLED,KILLED,KILLED,agreed,test_failure,2.96
commons-beanutils,e809e2231177,org.apache.commons.beanutils.locale.BaseLocaleConverter,convert,222,RemoveConditionalMutator_EQUAL_IF,removed conditional - replaced equality check with true,SURVIVED,SURVIVED,SURVIVED,agreed,ok,2.93
commons-beanutils,b998f166360b,org.apache.commons.beanutils.locale.BaseLocaleConverter,convert,221,RemoveConditionalMutator_EQUAL_ELSE,removed conditional - replaced equality check with false,MEMORY_ERROR,KILLED,SURVIVED,disagreed,ok,24.95
